level	value	count	cumlative
829	0.01	3	0.993122
830	0.01	0	0.993122
831	0.01	2	0.993173
832	0.01	2	0.993224
833	0.01	0	0.993224
834	0.01	2	0.993275
835	0.01	2	0.993326
836	0.01	8	0.993531
837	0.01	3	0.993607
838	0.01	0	0.993607
839	0.01	3	0.993684
840	0.01	0	0.993684
841	0.01	6	0.993838
842	0.01	2	0.993889
843	0.01	1	0.993914
844	0.01	0	0.993914
845	0.01	3	0.993991
846	0.01	4	0.994093
847	0.01	0	0.994093
848	0.01	2	0.994144
849	0.01	0	0.994144
850	0.01	2	0.994196
851	0.01	0	0.994196
852	0.01	2	0.994247
853	0.01	8	0.994451
854	0.01	0	0.994451
855	0.01	5	0.994579
856	0.01	0	0.994579
857	0.01	2	0.994630
858	0.01	1	0.994656
859	0.01	3	0.994733
860	0.01	5	0.994860
861	0.01	0	0.994860
862	0.01	6	0.995014
863	0.01	0	0.995014
864	0.01	3	0.995091
865	0.01	6	0.995244
866	0.01	1	0.995270
867	0.01	2	0.995321
868	0.01	1	0.995346
869	0.01	6	0.995500
870	0.01	2	0.995551
871	0.01	1	0.995576
872	0.01	2	0.995627
873	0.01	6	0.995781
874	0.01	3	0.995858
875	0.01	2	0.995909
876	0.01	2	0.995960
877	0.01	9	0.996190
878	0.01	2	0.996241
879	0.01	1	0.996267
880	0.01	2	0.996318
881	0.01	3	0.996395
882	0.01	0	0.996395
883	0.01	3	0.996471
884	0.01	0	0.996471
885	0.01	0	0.996471
886	0.01	4	0.996574
887	0.01	4	0.996676
888	0.01	2	0.996727
889	0.01	3	0.996804
890	0.01	0	0.996804
891	0.01	1	0.996829
892	0.01	2	0.996880
893	0.01	1	0.996906
894	0.01	0	0.996906
895	0.01	2	0.996957
896	0.01	3	0.997034
897	0.01	1	0.997059
898	0.01	1	0.997085
899	0.01	1	0.997111
900	0.01	0	0.997111
901	0.01	1	0.997136
902	0.01	5	0.997264
903	0.01	0	0.997264
904	0.01	3	0.997341
905	0.01	1	0.997366
906	0.01	3	0.997443
907	0.01	0	0.997443
908	0.01	2	0.997494
909	0.01	1	0.997520
910	0.01	1	0.997545
911	0.01	1	0.997571
912	0.01	4	0.997673
913	0.01	0	0.997673
914	0.01	0	0.997673
915	0.01	3	0.997750
916	0.01	1	0.997775
917	0.01	2	0.997827
918	0.01	0	0.997827
919	0.01	4	0.997929
920	0.01	2	0.997980
921	0.01	0	0.997980
922	0.01	0	0.997980
923	0.01	4	0.998082
924	0.01	1	0.998108
925	0.01	2	0.998159
926	0.01	0	0.998159
927	0.01	0	0.998159
928	0.01	1	0.998185
929	0.01	2	0.998236
930	0.01	1	0.998261
931	0.01	0	0.998261
932	0.01	2	0.998312
933	0.01	1	0.998338
934	0.01	2	0.998389
935	0.01	1	0.998415
936	0.01	2	0.998466
937	0.01	1	0.998491
938	0.01	0	0.998491
939	0.01	4	0.998594
940	0.01	1	0.998619
941	0.01	3	0.998696
942	0.01	2	0.998747
943	0.01	1	0.998773
944	0.01	1	0.998798
945	0.01	2	0.998849
946	0.01	1	0.998875
947	0.01	2	0.998926
948	0.01	1	0.998952
949	0.01	1	0.998977
950	0.01	0	0.998977
951	0.01	0	0.998977
952	0.01	0	0.998977
953	0.01	2	0.999028
954	0.01	2	0.999079
955	0.01	6	0.999233
956	0.01	2	0.999284
957	0.01	0	0.999284
958	0.01	0	0.999284
959	0.01	1	0.999310
960	0.01	2	0.999361
961	0.01	3	0.999437
962	0.01	1	0.999463
963	0.01	1	0.999489
964	0.01	0	0.999489
965	0.01	0	0.999489
966	0.01	1	0.999514
967	0.01	0	0.999514
968	0.01	2	0.999565
969	0.01	0	0.999565
970	0.01	2	0.999616
971	0.01	1	0.999642
972	0.01	0	0.999642
973	0.01	0	0.999642
974	0.01	0	0.999642
975	0.01	2	0.999693
976	0.01	1	0.999719
977	0.01	0	0.999719
978	0.01	1	0.999744
979	0.01	0	0.999744
980	0.01	0	0.999744
981	0.01	2	0.999795
982	0.01	0	0.999795
983	0.01	3	0.999872
984	0.01	1	0.999898
985	0.01	0	0.999898
986	0.01	0	0.999898
987	0.01	0	0.999898
988	0.01	0	0.999898
989	0.01	1	0.999923
990	0.01	0	0.999923
991	0.01	0	0.999923
992	0.01	0	0.999923
993	0.01	2	0.999974
994	0.01	0	0.999974
995	0.01	0	0.999974
996	0.01	0	0.999974
997	0.01	0	0.999974
998	0.01	0	0.999974
999	0.01	1	1.000000
